Company,JobTitle,Location,Salary,Level,Type,Phone,Mail,Facebook,Twitter,Extra,Date,Link
 Грэйпсити Монг,ДАТА ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Оюутны гудамж - 22, 
“Nest Education IT school”-ийн баруун талд","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,"7575-6622, 9905-7510", ,,GrapeCity Mongolia, , ,"2022-03-16 07:38
",https://www.zangia.mn/job/_1e73qplf+2
 Юнайтэд Аллиан,Бот угсралтын мэргэжилтэн,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай-2 Сэнтрал Тауэр, 10 давхар, 1007 тоот","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,7777-5522, ,,United Alliance Mongolia, , ,"2022-03-18 16:17
",https://www.zangia.mn/job/_ih1xb6-nks
ТВ-9 ТЕЛЕВИЗ,Зураглаач,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо Ерөнхий сайд А.Амарын гудамж ТВ-9 Телевизийн байр","800,000 - 1,000,000",Мэргэжилтэн,Бүтэн цагийн,"7011-0628, 7011-0630, 7011-0631",70110628,", ",tv9mongolia, ,Гүйцэтгэх үндсэн үүрэгМэдээ болон Программын албанд зураглаачаар ажиллах,"2022-03-15 10:04
",https://www.zangia.mn/job/_01g4bryyet
 Интерактив ХХК,БҮТЭЭГДЭХҮҮН ХӨГЖҮҮЛЭГЧ,"Монгол улс, СБД, Бага тойруу-49 Мэдээлэл технологийн үндэсний парк-109 тоот","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"7777-8282, 8805-1014", ,,interactivellc, , ,"2022-03-21 15:35
",https://www.zangia.mn/job/_9mcf67is96
 Скайтел ХХКИРЭ,Системийн ахлах администратор,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Чингисийн өргөн чөлөө-9, 
Скайтел плаза","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,9112-0202, ,,skytelofficial,SkytelOfficial, ,"2022-03-14 16:13
",https://www.zangia.mn/job/_k16ov_24y6
 Зочил технолог,Харилцагчийн үйлчилгээний зөвлөх.,"Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, Гранд Плаза 9н давхар 908тоот","1,200,000 - 1,500,000",Мэргэжилтэн,Бүтэн цагийн,"7777-8787, 8911-7595, 8810-6026", ,", ",zochilplatform, , ,"2022-03-21 14:01
",https://www.zangia.mn/job/_nmwujtiwuu
 Топика ХХКМонг,"IT инженер /Камер, хяналтын системийн шийдэл/","Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо, 3А оффис байр","1,200,000 - 1,500,000", , ,7012-5002,11314582,,#, , ,"2022-03-21 10:59
",https://www.zangia.mn/job/_20mbhajn2y
 Топика ХХКМонг,Цахилгааны инженер,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, 1-р хороо, 3А оффис байр","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,7012-5002,11314582,,#, , ,"2022-03-21 10:58
",https://www.zangia.mn/job/_ucvkmqk10u
 Хаан Банк,МТ Үйлчилгээ нэвтрүүлэлтийн газарт Бизнес систем аналист,"Монгол улс, Улаанбаатар хот, ХААН Банк цамхаг, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, Хан-Уул дүүрэг, Улаанбаатар 17010                   ",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7515-3333, ,,khanbank,khan_bank, ,"2022-03-21 10:55
",https://www.zangia.mn/job/_m-fyooueqv
 Хаан Банк,"Төв банк, МТ Үйлчилгээ нэвтрүүлэлтийн газарт Програмист","Монгол улс, Улаанбаатар хот, ХААН Банк цамхаг, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, Хан-Уул дүүрэг, Улаанбаатар 17010                   ",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7515-3333, ,,khanbank,khan_bank, ,"2022-03-21 10:31
",https://www.zangia.mn/job/_pehxjrzlpo
 Гэрэгэ Системс,Ахлах Нягтлан Бодогч,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Аюуд таур-12, Олимп Гудамж-3","1,800,000 - 2,100,000", , ,9997-6667, ,,geregesystems,GeregeSystems, ,"2022-03-21 10:28
",https://www.zangia.mn/job/_mywv2+epne
 Юнител ГруппТү,SWO инженер,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай-2 Сэнтрал Тауэр, 8-р давхар",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7777-8070,77778989,,unitelofficial, , ,"2022-03-21 09:56
",https://www.zangia.mn/job/_rkysoa1yqc
 Юнител ГруппТү,Датабэйс администратор,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сүхбаатарын талбай-2 Сэнтрал Тауэр, 8-р давхар",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7777-8070,77778989,,unitelofficial, , ,"2022-03-21 09:54
",https://www.zangia.mn/job/_fmouyqxhmu
 Би Си Ти ХХКУх,Онлайн худалдааны менежер,"Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, БГД,3-р хороо,Үйлдвэрлэлийн төвийн бүс-16020, TST оффис, 2 давхар","1,000,000 - 1,200,000",Мэргэжилтэн,Бүтэн цагийн, , , ,BestComputers2005, , ,"2022-03-14 10:07
",https://www.zangia.mn/job/_6ecg09il8h
 Дата Бэйнк ХХК,Засвар үйлчилгээний мэргэжилтэн,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Улаанбаатар хот, Сүхбаатар дүүрэг 1-р хороо, DHL буйлдинг 501 тоот. Утас: 7011-1717 
Веб хууда: www.databank.mn   Имэйл:hr@databank.mn /Захиргаа, Хүний нөөцийн алба/","1,500,000 - 1,800,000",Мэргэжилтэн,Ээлжийн,8805-9772, ,,databank.mn, , ,"2022-03-21 08:45
",https://www.zangia.mn/job/_poe85ci3s5
Степ Голд,Dispatcher / IT,"Монгол улс, Улаанбаатар хот, Шангрила оффис 1201 тоот Сүхбаатар дүүрэг 1 хороо олимпийн гудамж Улаанбаатар 14241","2,500,000 - 3,000,000",Мэргэжилтэн,Ээлжийн,"7732-1914, 7732-1914",77321914,, , ,"Гүйцэтгэх үндсэн үүрэг
Resposible for assessing controls around IT infrastructures, including network devices, applications and databeses as well as all IT project development. To ensure the smooth and effective day to day running of onsite-based IT Control Room function.
Mainly involves with the operation dispatching coordination, effective technical skills of use of stations and relevant functions;
","2022-03-19 15:10
",https://www.zangia.mn/job/_k0rhcfmm5l
 Ай Трип ХХКWe ,Бүтээгдэхүүн хөгжүүлэлтийн менежер,"Монгол улс, Улаанбаатар хот, СБД, 8-р хороо, Алтангэрэлийн гудамж, Сэнтрал Тауэр, 9 давхар","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,8900-0717, ,,itriptravelagency,-, ,"2022-03-15 18:00
",https://www.zangia.mn/job/_rvwyspjlr4
 ОЮУНЫ УНДРАА Г,IT ИНЖЕНЕР,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 11-р хороо, зайсан 17023, Дүнжингарав14, ""Зайсан скуэр"" төв","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,7712-8939, ,,Oyuny Undraa Group, , ,"2022-03-15 14:33
",https://www.zangia.mn/job/_9oloprww23
 Хаан Банк,МТ Автоматжуулалт Инженерчлэлийн газарт Хөгжүүлэлт автоматжуулалтын инженер,"Монгол улс, Улаанбаатар хот, ХААН Банк цамхаг, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, Хан-Уул дүүрэг, Улаанбаатар 17010                   ",Тохиролцоно,Мэргэжилтэн,Бүтэн цагийн,7515-3333, ,,khanbank,khan_bank, ,"2022-03-16 18:30
",https://www.zangia.mn/job/_m7b_-p_dc6
 Хаан Банк,МТ Автоматжуулалт Инженерчлэлийн газарт Ахлах хөгжүүлэлт автоматжуулалтын инженер,"Монгол улс, Улаанбаатар хот, ХААН Банк цамхаг, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, Хан-Уул дүүрэг, Улаанбаатар 17010                   ",Тохиролцоно,Дунд шатны удирдлага,Бүтэн цагийн,7515-3333, ,,khanbank,khan_bank, ,"2022-03-16 16:17
",https://www.zangia.mn/job/_ha09f34653
 Бридж ГруппӨдө,IT инженер,"Монгол улс, Баянзүрх дүүрэг, 14-р хороо, Энхтайваны өргөн чөлөө, Бридж плаза, өөрийн байр","1,500,000 - 1,800,000Тохиролцоно",Дунд шатны удирдлага,Бүтэн цагийн,9901-5193, ,,Bridge Corporation, , ,"2022-03-16 15:20
",https://www.zangia.mn/job/_imd8-qew-u
ТВ-9 ТЕЛЕВИЗ,Эвлүүлэгч,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо Ерөнхий сайд А.Амарын гудамж ТВ-9 Телевизийн байр","800,000 - 1,000,000", ,Бүтэн цагийн,"7011-0628, 7011-0630, 7011-0631",70110628,", ",tv9mongolia, ,Гүйцэтгэх үндсэн үүрэг-Мэдээ болон Нэвтрүүлгийн албанд эвлүүлэгчээр ажиллах,"2022-03-16 15:18
",https://www.zangia.mn/job/_fjwggg-b-2
 Голомт Банк,Эмбоссын ажилтан,"Монгол улс, Улаанбаатар хот, WWW.GOLOMTBANK.COM","800,000 - 1,000,000",Мэргэжилтэн,Бүтэн цагийн,"7575-1111, 7011-1646", ,", ", , , ,"2022-03-16 12:46
",https://www.zangia.mn/job/_8qj5nmef27
 Бишрэлт ГруппМ,Мэдээллийн технологийн газрын захирал,"Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, Самбуугийн гудамж 5-р хороо 48/1 тоот",Тохиролцоно, ,Бүтэн цагийн, , , ,Bishreltbeauty,Холбоо барих: 88053586, ,"2022-03-15 17:49
",https://www.zangia.mn/job/_0_sivc9zz3
 Нэкст Групп XX,ERP СИСТЕМ ХӨГЖҮҮЛЭГЧ,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, Чингисийн өргөн чөлөө-6, Хаан Банк цамхаг 7 давхар.","1,500,000 - 1,800,000",Мэргэжилтэн,Бүтэн цагийн,"7777-1540, 8805-6728, 8008-1540", ,,nextelectronics,Nextelectronics, ,"2022-03-14 10:53
",https://www.zangia.mn/job/_mwp3jeucgy
 М Банк,Хөгжүүлэгч (FE),"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 8-р хороо, Сэнтрал Тауэр, 15 давхар","2,100,000 - 2,500,000", , ,7711-2828, ,,Simplemgl, , ,"2022-03-14 08:21
",https://www.zangia.mn/job/_di0qzmx4yo
Вертексмон ХХК,Борлуулалтын менежер,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 11-р хороо, Их монгол улсын гудамж, ""Тайм Скүэр""хотхон 511-байр, ICT-mall","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,"7575-0700, 8585-0595", ,", ",ICTMall,VertexMon,"Гүйцэтгэх үндсэн үүрэг
Борлуулалт хийх
Судалгаа хийж төлөвлөгөө гаргах
Шийдэл боловсруулах
","2022-03-14 07:58
",https://www.zangia.mn/job/_wa8589n8bg
 Тэрэлж Сүйх ХХ,Дизайнер,"Монгол улс, Улаанбаатар хот, Налайх дүүрэг, 6-р хороо, Тэрэлж","1,200,000 - 1,500,000",Дунд шатны удирдлага,Бүтэн цагийн,"9900-7214, 9901-2261", ,", ",TERELJ HOTEL, , ,"2022-03-12 09:23
",https://www.zangia.mn/job/_zde0_4glns
 Мобиком корпор,ТӨСЛИЙН МЕНЕЖЕР,"Монгол улс, Улаанбаатар хот, ХАЯГ:             Сүхбаатар дүүрэг, 1-р хороо, ЮНЕСКО-гийн гудамж – 28,  МПМ Цогцолбор, 
Улаанбаатар

И-МЭЙЛ:         hrd@mobicom.mn

УТАС:           75759944-1501","2,100,000 - 2,500,000Тохиролцоно",Мэргэжилтэн,Бүтэн цагийн,9411-0202, ,,Mobicom.Official,MobiComOfficial, ,"2022-03-11 17:28
",https://www.zangia.mn/job/_l0lhqx8rzy
Ти энд ти эс трейдинг,Msports.mn,"Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг Унион буйлдинг","1,000,000 - 1,200,000Тохиролцоно",Мэргэжил хамаарахгүй,Бүтэн цагийн,"8805-7734, 8888-1240", ,, , ,"Гүйцэтгэх үндсэн үүрэгМэдээлэл цуглуулах 
байгуулагуудтай харилцах 
мэдээлэл байршуулах байнгийн оффисолж суух 
 ","2022-03-11 14:51
",https://www.zangia.mn/job/_b8ruj95f64
Эм би си,мэдээний сэтгүүлч ажилд авна.,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 4-р хороо Богд Вилла хотхон 1202 байрны 96 тоот","1,000,000 - 1,200,000",Мэргэжилтэн,Бүтэн цагийн, , , ,bayraa_gankhuyg@yahoo.com,bayraa 7022,"Гүйцэтгэх үндсэн үүрэгӨдөр тутмын мэдээ мэдээлэл бэлтгэх.
Ярилцлага авах.","2022-03-11 10:14
",https://www.zangia.mn/job/_h87g9l3ad1
Эм би си,ЗУРАГЛААЧ АЖИЛД АВНА.,"Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 4-р хороо Богд Вилла хотхон 1202 байрны 96 тоот","800,000 - 1,000,000",Мэргэжилтэн,Бүтэн цагийн, , , ,bayraa_gankhuyg@yahoo.com,bayraa 7022,"Гүйцэтгэх үндсэн үүрэг- Ажлын байрны тодорхойлолтын дагуу
- Гадуур болон студид зурганд гарах
- Контент дээр зураглаачаар ажиллах
- Бусад холбогдох чиг үүргийн дагуу","2022-03-11 10:14
",https://www.zangia.mn/job/_ntivmz2h_e
